label,high,low,open,adjClose,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime
134.179993,134.800003,130.529999,132.759995,134.179993,152470100.0,152470100.0,1.42,1.07,133.17,0.0107
129.039993,131.0,126.0,127.580002,129.039993,225702700.0,225702700.0,1.45999,1.144,128.68,0.01144
124.807503,126.442497,124.577499,126.012497,124.807503,187630000.0,187630000.0,-1.20499,-0.956,125.27583,-0.00956
125.010002,127.485001,123.832497,127.142502,125.010002,155552400.0,155552400.0,-2.1325,-1.677,125.4425,-0.01677
126.522499,126.9925,125.082497,126.18,126.522499,163022400.0,163022400.0,0.3425,0.271,126.19917,0.00271
124.824997,125.18,123.052498,124.697502,124.824997,211495600.0,211495600.0,0.12749,0.102,124.3525,0.00102
125.857498,128.785004,123.9375,128.697495,125.857498,345937600.0,345937600.0,-2.84,-2.207,126.19333,-0.02207
124.370003,124.8675,119.25,119.262497,124.370003,338054800.0,338054800.0,5.10751,4.283,122.82917,0.04283
118.275002,118.392502,115.732498,115.75,118.275002,126907200.0,126907200.0,2.525,2.181,117.46667,0.02181
115.707497,117.162498,115.610001,115.982498,115.707497,145538000.0,145538000.0,-0.275,-0.237,116.16,-0.00237
115.5625,116.0,114.0075,114.352501,115.5625,105633600.0,105633600.0,1.21,1.058,115.19,0.01058
114.607498,116.087502,113.962502,116.0625,114.607498,119561600.0,119561600.0,-1.455,-1.254,114.88583,-0.01254
114.907501,115.0,113.044998,114.830002,114.907501,165565200.0,165565200.0,0.0775,0.067,114.3175,0.00067
115.010002,116.042503,113.927498,114.43,115.010002,210082000.0,210082000.0,0.58,0.507,114.99333,0.00507
113.010002,113.275002,110.297501,110.497498,113.010002,165944800.0,165944800.0,2.5125,2.274,112.19417,0.02274
109.375,112.482498,109.107498,111.970001,109.375,187902400.0,187902400.0,-2.595,-2.318,110.32167,-0.02318
112.727501,113.775002,110.0,112.599998,112.727501,212403600.0,212403600.0,0.1275,0.113,112.1675,0.00113
111.112503,113.675003,110.292503,113.205002,111.112503,198045600.0,198045600.0,-2.0925,-1.848,111.69334,-0.01848
113.902496,114.412498,109.797501,110.404999,113.697502,202428800.0,202428800.0,3.4975,3.168,112.70417,0.03168
110.0625,110.392502,108.897499,109.377502,109.86441,121992000.0,121992000.0,0.685,0.626,109.78417,0.00626
109.665001,110.790001,108.387497,109.1325,109.467628,173071600.0,173071600.0,0.5325,0.488,109.61417,0.00488
108.9375,111.637497,107.892502,108.199997,108.74144,308151200.0,308151200.0,0.7375,0.682,109.48917,0.00682
106.260002,106.415001,100.824997,102.885002,106.068756,374336800.0,374336800.0,3.375,3.28,104.5,0.0328
96.190002,96.297501,93.767502,94.1875,96.016884,158130000.0,158130000.0,2.0025,2.126,95.41834,0.02126
95.040001,95.230003,93.712502,93.75,94.86895,90329200.0,90329200.0,1.29,1.376,94.66084,0.01376
93.252502,94.550003,93.247498,94.3675,93.084671,103625600.0,103625600.0,-1.115,-1.182,93.68333,-0.01182
